sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Get Sonar Information of a Project,400,97,76,232,17.38361297314233,0.0,17.56234632946962,7.048949552160169,411.0
Total,400,97,76,232,17.38361297314233,0.0,17.56234632946962,7.048949552160169,411.0
