sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Get Sonar Information of a Project,800,95,75,183,13.29426944213177,0.0,20.62599907183004,8.278599236838033,411.0
Total,800,95,75,183,13.29426944213177,0.0,20.62599907183004,8.278599236838033,411.0
