sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Get Sonar Information of a Project,900,109,75,615,59.78224357544286,0.0,12.36110920353253,4.961343635402217,411.0
Total,900,109,75,615,59.78224357544286,0.0,12.36110920353253,4.961343635402217,411.0
