sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Get Sonar Information of a Project,1000,142,78,836,112.07723436987548,0.0,16.190136968558754,6.498189740310203,411.0
Total,1000,142,78,836,112.07723436987548,0.0,16.190136968558754,6.498189740310203,411.0
